latitude,longitude,station_name
-23.6167,-45.4333,BAIRRO RIO DOURO 
-23.4333,-45.0667,UBATUBA 
-23.5500,-45.4667,BAIRRO DA CAPOEIRINHA (DER) 
-23.5667,-45.9667,PONTE NOVA 
-23.5833,-45.4500,CARAGUATATUBA 
-23.6333,-45.4333,CARAGUATATUBA 
-23.7000,-45.4500,PORTO NOVO 
-23.1167,-45.9167,BUQUIRINHA 
-23.3292,-45.1403,PONTE ALTA 1 
-23.4500,-45.0667,UBATUBA - IA 
-23.1997,-45.8878,SAO JOSE DOS CAMPOS 
-23.4272,-45.9769,USINA PUTIM 
-23.2667,-47.3000,ITU (INMET) 
-23.1847,-45.9278,SAO JOSE DOS CAMPOS - SE 
-23.5461,-45.4503,PASSA QUATRO 
-23.7667,-45.4167,SAO FRANCISCO 
-23.7833,-45.5500,MARESIAS 
-23.4167,-45.1167,UBATUBA 
-23.1833,-45.7000,ANTIGA CARBONIFERA 
-23.1833,-45.8000,PARARANGABA 
-23.2333,-45.8500,BAIRRO DOS PUTINS 
-23.5569,-45.2769,CEEPAM 
-23.6667,-45.5500,CAMBURU 
-23.5500,-46.8667,BAIXO COTIA 
-23.0833,-46.4000,BATATUBA 
-23.1500,-46.5500,ATIBAIA 
-23.1167,-46.5500,ATIBAIA 
-23.1833,-46.4000,NAZARE PAULISTA 
-23.2000,-46.1167,IGARATA (FAZ. SUDARIO) 
-23.1167,-46.9333,JUNDIAI - IA 
-23.2000,-46.9833,ERMIDA 
-23.2167,-46.6667,RIO ACIMA 
-23.3333,-46.2333,SANTA ISABEL 
-23.3833,-46.3500,BAIRRO FAZENDA VELHA 
-23.4000,-46.5333,CABUCU (SABESP) 
-23.4000,-46.7500,PERUS 
-23.8833,-46.4833,CURVA DA ONCA 
-23.8833,-46.4500,MORRO DO PICHE 
-23.4333,-46.2833,FAZENDA SAO BENTO 
-23.4167,-46.4000,BOM SUCESSO 
-23.4667,-46.6333,HORTO FLORESTAL 
-23.4500,-46.9167,SANTANA DE PARNAIBA 
-23.4167,-46.5667,BARROCADA 
-23.4000,-46.5833,ENGORDADOR 
-23.4667,-46.7167,NOSSA SENHORA DO O 
-23.4833,-46.3500,ITAQUAQUECETUBA 
-23.5500,-46.2833,SUZANO 
-23.4833,-46.3667,MONTE BELO 
-23.5167,-46.7333,LAPA 
-23.3500,-46.9333,PONUNDUVA 
