latitude,longitude,station_name
-20.2167,-50.9167,SANTA FE DO SUL 
-20.3000,-50.5500,JALES 
-20.6833,-49.6833,ENGENHEIRO BALDUINO (EFA) 
-20.2933,-49.2011,UHE MARIMBONDO 
-20.2925,-49.1969,UHE MARIMBONDO BARRAMENTO 
-20.2842,-49.2011,FRONTEIRA 
-20.3500,-50.1833,MERIDIANO (EFA) 
-20.2833,-50.4000,ESTRELA D'OESTE 
-20.2333,-50.7833,PIMENTA BUENO (EFA) 
-20.6833,-50.1500,FLOREAL 
-20.9500,-50.1000,TURIUBA 
-20.1000,-50.9333,SANTA CLARA D'OESTE 
-20.7947,-51.7128,TRES LAGOAS 
-20.4000,-51.3500,USINA ILHA SOLTEIRA 
-20.4167,-51.1000,FAZENDA SANTA ROSA 
-20.6167,-51.2333,BELA FLORESTA 
-20.6500,-51.5167,ITAPURA 
-20.7833,-51.6167,JUPIA 
-20.9167,-51.3667,ANDRADINA 
-20.9833,-51.7167,PORTO IINDEPENDENCIA 
-20.4442,-54.7225,CAMPO GRANDE 
-20.8667,-51.4833,CASTILHO 
-20.7833,-51.7167,JUPIA (EFNOB) 
-20.8000,-51.7167,TRES LAGOAS (EFNOB) 
-20.5333,-51.1000,FAZENDA SANTA ROSA 
-20.9000,-51.3833,ANDRADINA (ACCO) 
-20.7167,-51.3333,TRES IRMAOS 
-20.8000,-51.6333,JUPIA 
-20.5167,-51.1833,SAO JOSE 
-20.3000,-51.0500,ESMERALDA 
-20.3636,-51.4239,SELVIRIA 
-20.9167,-51.3833,ANDRADINA 
-20.4453,-52.9189,AGUA CLARA 
-20.4447,-53.7581,RIBAS DO RIO PARDO 
-20.4931,-54.8114,JARAGUA 
-20.4906,-54.8669,SANTA ELISA 
-20.9514,-54.9717,SIDROLANDIA 
-20.1278,-55.3933,CIPOLANDIA 
-20.4489,-55.4308,PALMEIRAS 
-20.0703,-55.6453,TABOCO 
-20.2414,-56.3683,MIRANDA 
-20.7644,-56.0931,ESTRADA MT-738 
-20.1019,-56.7953,GUAICURUS 
-20.9267,-56.9839,SANTA ROSA 
-20.4517,-54.6275,DNOS - 8.DRS 
-20.2294,-58.1667,BAIA NEGRA 
-21.0075,-40.8353,BARRA DO ITAPEMIRIM (DNOS) 
-21.4828,-41.1033,SAO FRANCISCO PAULA - CACIMBAS 
-21.4919,-41.6136,CARDOSO MOREIRA 
-21.2053,-41.9067,ITAPERUNA 
-21.6453,-41.7522,SAO FIDELIS 
-21.6433,-41.8586,DOIS RIOS 
-21.6258,-41.9853,TRES IRMAOS 
-21.0647,-41.3625,MIMOSO DO SUL 
-21.0367,-41.6522,SAO JOSE DO CALCADO 
-21.5422,-42.1806,SANTO ANTONIO DE PADUA 
-21.0625,-41.2411,SAO JOSE DAS TORRES 
-21.6500,-41.7500,SAO FIDELIS 
-21.7500,-41.3333,CAMPOS 
-21.2000,-41.9000,ITAPERUNA 
-21.3069,-42.8606,ASTOLFO DUTRA 
-21.3894,-42.7019,CATAGUASES 
-21.1486,-42.2156,PATROCINIO DO MURIAE 
-21.0503,-42.5156,FAZENDA UMBAUBAS 
-21.4714,-42.8131,USINA MAURICIO 
-21.6581,-42.3428,FAZENDA DA BARRA (PIRAPETINGA) 
-21.7692,-42.5397,VOLTA GRANDE 
-20.9114,-42.3494,JUSSARA 
-21.8708,-42.6403,PAQUEQUER 
-21.7428,-42.9883,PONTO DE PERGUNTA 
-21.9525,-42.3558,ALDEIA 
-21.9333,-42.6167,CARMO 
-21.8433,-42.5783,USINA ILHA DOS POMBOS 
-21.8525,-42.6064,UHE ILHA DOS POMBOS BARRAMENTO 
-21.3094,-43.2022,USINA ITUERE 
-21.3556,-43.0503,GUARANI 
-21.1872,-43.9800,BARROSO 
-21.1928,-43.6139,VARGEM DO ENGENHO 
-21.2747,-43.8786,USINA BARBACENA 
-21.2167,-43.7667,BARBACENA 
-21.2789,-43.8200,CAMPOLIDE 
-20.0497,-57.3214,SAO SIMAO 
-21.4272,-43.9594,IBERTIOGA 
-21.3833,-42.6833,CATAGUASES 
-21.7500,-41.3333,CAMPOS 
-21.8692,-43.5556,TORREOES 
-21.3550,-43.2469,TABULEIRO 
-21.4725,-43.1211,RIO NOVO 
-21.5942,-43.5053,CHAPEU D'UVAS 
-21.7783,-43.3253,JUIZ DE FORA - JUSANTE 
-21.9664,-43.3725,SOBRAJI 
-21.4994,-43.1536,PIAU 
-21.5500,-43.2500,CEL.PACHECO (AGUA LIMPA) 
-21.0339,-44.7719,BOM SUCESSO 
-21.9472,-44.1939,BOM JARDIM DE MINAS 
-21.1225,-44.2325,PORTO TIRADENTES 
-21.5069,-44.9156,LUMINARIAS 
-21.4922,-44.3261,MADRE DE DEUS DE MINAS 
-21.1500,-44.8000,FAZENDA BOM JARDIM 
-21.1650,-44.1356,PORTO DO ELVAS 
-21.6992,-44.4389,SAO VICENTE DE MINAS 
-21.1833,-45.0500,RIBEIRAO VERMELHO 
-21.2333,-44.9833,LAVRAS (INMET) 
-21.9772,-44.6033,AIURUOCA 
-21.7347,-44.3122,ANDRELANDIA 
-21.0556,-44.2089,USINA SAO JOAO DEL REI 
-21.7458,-44.3547,FAZENDA PARAIBA 
-21.1431,-44.7378,IBITURUNA 
-21.1894,-44.3289,VILA RIO DAS MORTES 
-21.9981,-44.4636,CARVALHOS 
-21.1450,-44.9136,MACAIA 
-21.9833,-44.2000,RUTILO 
-21.1333,-44.2667,SAO JOAO DEL REI 
-21.9833,-44.9500,CAXAMBU 
-21.7000,-45.9000,MACHADO 
-21.7208,-45.2644,TRES CORACOES 
-21.8333,-45.4000,CAMPANHA 
-21.8742,-45.2583,FAZENDA JUCA CASIMIRO 
-21.9192,-45.4789,USINA DO CHICAO 
-21.8667,-45.3000,CAMBUQUIRA (INMET) 
-21.6167,-45.4000,USINA DE VARGINHA 
-21.6783,-45.2597,CHACARA SANTANA 
-21.2575,-45.1736,USINA NEPOMUCENO 
-21.5853,-45.6739,PARAGUACU 
-21.6106,-45.4894,PORTO DOS BUENOS 
-21.8872,-45.0792,CONCEICAO DO RIO VERDE 
-21.7578,-43.9178,CONCEICAO DO IBITIPOCA 
-21.3208,-44.8728,ITUMIRIM 
-21.9897,-44.9386,CAXAMBU 
-21.8353,-44.8008,CRUZILIA 
-21.3167,-46.3667,FAZENDA MONTE ALEGRE 
-21.7864,-45.4403,PALMELA DOS COELHOS 
-21.6667,-45.9167,MACHADO 
-21.2333,-45.0000,LAVRAS 
-21.4333,-46.8500,FAZENDA ACUDE 
-21.4833,-46.8167,FAZENDA FORTALEZINHA 
-21.5333,-46.6333,CACONDE 
-21.6000,-46.9000,SAO JOSE DO RIO PARDO 
-21.7000,-46.8167,SAO SEBASTIAO DA GRAMA 
-21.9500,-46.8000,SAO JOAO DA BOA VISTA 
-21.5333,-46.8000,FAZENDA GUAXUPE 
-21.6667,-46.6167,RIBEIRAO SANTO ANTONIO 
-21.8333,-46.7500,SAO ROQUE DA FARTURA 
-21.6000,-46.9000,SAO JOSE DO RIO PARDO 
-21.2936,-46.7039,GUAXUPE 
-21.2789,-46.3608,JUREIA 
-21.3806,-46.5189,MUZAMBINHO 
-21.5667,-46.6167,USINA GRAMINHA 
-21.9667,-46.8000,SAO JOAO DA BOA VISTA (ACCO) 
-21.5500,-46.8000,FAZENDA GUAXUPEZINHO 
-21.4667,-46.7833,FAZENDA RETIRO (US.ITAIQUARA) 
-21.6000,-46.8833,SAO JOSE DO RIO PARDO (CMEF) 
-21.9833,-46.6667,FAZENDA PRATINHA 
-21.5500,-46.6333,CACONDE (AGROPECUARIA) 
